med,classRank,OR_std,OR,SE_OR,numInClass
310,73,8.677475411913003,.73586088,.084801264,4
311,73,6.436888598479704,.82277077,.12782119,4
312,73,3.253102927883421,.57965541,.17818539,4
313,73,2.521755551259622,1.3427815,.53247887,4
314,74,19.01175013406568,.78040242,.041048426,4
315,74,3.074844636725886,.70152593,.22815004,4
316,74,2.632985387569623,.92338073,.35069725,4
317,74,3.412753640429937,.95752066,.28057128,4
318,75,9.700348269790297,1.191875,.1228693,1
319,76,16.17333271465408,2.9085789,.17983794,1
320,77,6.058108318685817,1.0062661,.16610236,4
322,77,3.638853861112626,1.4917601,.4099533,4
323,77,2.473366624279725,.59579092,.24088258,4
324,77,3.348122235893246,.90723854,.27096936,4
325,78,16.68245141131149,2.448112,.14674774,3
326,78,4.536245161359957,1.4529395,.32029563,3
327,78,2.559820848845856,1.0187987,.3979961,3
328,79,9.121292540056468,1.8275878,.20036501,2
329,79,3.743503656883636,1.2672515,.33852017,2
330,80,16.48812351800263,1.0814848,.065591745,6
331,80,8.681268506392335,.92223054,.10623223,6
332,80,2.584624381725312,2.80603,1.0856626,6
333,80,2.031635922064387,.49943364,.24582832,6
334,80,3.499830770533624,1.4730554,.42089331,6
335,80,1.44443142010689,.9812628,.67934191,6
336,81,3.203983014080102,.60568154,.18904018,4
337,81,4.406362878143407,1.1350561,.25759479,4
338,81,3.705373833575563,1.3761648,.37139702,4
339,81,1.966729969123164,.68978083,.35072473,4
340,82,13.33880206602361,9.7603569,.73172665,2
341,82,1.118993994317791,2.7835743,2.4875686,2
342,83,8.740972257084001,1.2012926,.13743238,1
343,84,13.60222013941041,1.2176272,.089516796,2
344,84,4.953926877594015,1.1667764,.23552556,2
345,85,15.7724138099133,5.3997593,.34235466,4
346,85,3.135027339558109,3.1858673,1.0162168,4
347,85,1.631942000790283,3.7959142,2.3260105,4
348,85,2.874433458672645,5.4885731,1.9094452,4
350,86,8.894332075660602,.98489875,.1107333,2
351,86,1.148451378506945,1.3853613,1.2062864,2
352,87,8.518932061633244,.89737469,.10533887,1
353,88,6.22394955552685,.83210754,.13369446,6
354,88,3.690785212962026,1.1104193,.30086261,6
355,88,3.638064356978716,1.3234028,.36376563,6
356,88,2.858966250006758,.72500777,.25359088,6
357,88,1.375786701798121,.36624902,.26621062,6
358,88,.8490374105054771,.3887367,.45785579,6
360,89,14.80522472256703,1.0245273,.069200389,4
361,89,3.644526775193136,1.337081,.36687368,4
362,89,2.302000419252872,2.2215254,.96504128,4
363,89,1.472633244542812,.86266047,.58579451,4
364,90,19.70494599194157,13.439784,.6820513,1
367,91,18.03446398486705,.98238534,.054472666,2
368,91,2.153452231530848,1.0045906,.4665024,2
369,92,6.834428155571078,1.4125473,.20668113,2
370,92,6.860231478363024,2.1702077,.31634614,2
371,93,16.40470432358881,1.0390868,.063340783,2
372,93,1.590172330620314,1.4329177,.90110844,2
373,94,8.0970996129535,1.3062035,.16131745,2
374,94,1.748555170748096,1.2343472,.70592409,2
375,95,11.0361215542461,.7555635,.068462774,2
376,95,6.532451312470754,1.1314404,.17320304,2
378,96,5.878351911599591,.85145992,.14484671,5
379,96,4.567575777311855,.64687639,.14162357,5
380,96,1.722166217015439,1.0026704,.58221465,5
381,96,2.014624678600228,1.5480894,.7684257,5
383,96,.0021002481242319,.000019097033,.009092751,5
384,97,11.15513203492109,.71820801,.064383641,1
385,98,5.093819892859487,.95639503,.18775596,3
386,98,5.293404926709119,.98416972,.18592376,3
387,98,1.832083182681339,1.8311619,.99949712,3
390,99,12.07299243454312,7.3405886,.60801733,1
391,100,7.356278958318454,1.42731,.19402608,3
392,100,1.735000765910556,.31105492,.17928229,3
393,100,.9635309903638675,.50338382,.52243656,3
394,101,13.8801623671884,.73114848,.052675787,3
395,101,6.094498178493416,.53293538,.087445326,3
396,101,1.879148497420064,.5653187,.3008377,3
397,102,5.57981342611915,1.0873201,.19486675,1
398,103,7.359995823594534,.96636868,.13130017,1
399,104,4.600556185390336,.91525567,.19894457,4
400,104,3.902443449199082,.77057129,.19745867,4
401,104,1.327681646245779,.6932624,.52216011,4
402,104,1.235919343231991,.52551204,.4251993,4
404,105,11.27082260509448,.735286,.065238006,3
405,105,1.340290586303778,.85785562,.64005196,3
406,105,2.591426273660454,3.124104,1.2055539,3
407,106,8.273803287542293,.87339813,.10556187,2
408,106,4.927956334078492,.72503442,.14712679,2
409,107,15.46101255537715,.74430853,.048140995,1
410,108,19.37626558792681,1.0435109,.05385511,1
411,109,10.44242036833431,.73161799,.070062108,5
412,109,7.285644776119166,.68376195,.093850575,5
413,109,4.192938212154491,1.1164498,.26626909,5
414,109,3.388909406219213,.9708342,.28647393,5
415,109,2.765286621904442,.65632331,.23734368,5
416,110,8.38672860500907,1.0128504,.12076823,3
417,110,7.278892618501322,1.2355577,.16974528,3
418,110,7.278892618501322,1.2355577,.16974528,3
419,111,11.99123610886727,.83890873,.069960155,2
420,111,6.097277121239169,1.1039374,.18105416,2
421,112,6.849194588355879,.93619359,.13668667,4
422,112,3.828338137023937,.79982132,.20892128,4
423,112,1.410597586862042,.37290177,.2643573,4
424,112,2.170167282144271,1.820347,.8388049,4
426,113,11.1155851486709,3.2388952,.29138324,4
427,113,6.490376799944813,.72552949,.11178542,4
428,113,2.586587341203522,2.5465624,.98452598,4
429,113,2.0760018600031,3.7121744,1.7881364,4
430,114,7.195740822310434,.65445995,.090951018,2
431,114,1.110566234945127,.2648533,.23848492,2
432,115,5.869333333532633,1.1702306,.1993805,3
433,115,1.867212810346547,.30297711,.16226169,3
434,115,.9320481970711709,.17122054,.18370353,3
435,116,4.109977001772196,.72754812,.17702,1
436,117,11.41917306324776,.91251057,.07991039,2
437,117,5.433433883008946,1.2431502,.22879642,2
438,118,6.719183024840109,1.0761228,.16015679,3
439,118,2.220260599020872,2.129266,.95901626,3
440,118,1.169226180632023,.35376191,.30256072,3
441,119,4.425072120257226,.94695133,.21399681,1
443,120,8.06885543511482,1.308043,.16211011,1
445,121,13.6246145325706,1.2419724,.09115652,2
446,121,3.785302024437098,.73276633,.193582,2
447,122,11.23894133193636,1.9951673,.1775227,1
449,123,4.723840025390505,1.1710296,.2478978,1
450,124,7.31462139672059,.75991118,.10388934,4
451,124,3.040036220956526,.87566149,.28804311,4
452,124,2.474567302002873,1.4532672,.58728135,4
453,124,1.72757211200405,2.0135682,1.165548,4
454,125,5.507190357726044,1.0245105,.18603143,1
455,126,10.09622155250556,1.4350029,.14213267,2
456,126,1.257411795594083,.8198427,.65200812,2
457,127,9.768755416510446,1.5394027,.15758432,2
458,127,.8927076593685711,.47616723,.5333966,2
461,128,4.821617517095009,.99614817,.20660041,4
462,128,1.52324513321957,1.0605962,.69627416,4
463,128,.7796584684431866,.65675861,.84236705,4
464,128,.8689056523551922,.56617582,.65159643,4
465,129,8.434319724649706,1.2423228,.14729378,4
466,129,7.592803680186071,.99643189,.13123372,4
467,129,4.84566950498709,1.3518672,.27898461,4
468,129,.9257590357455533,.25491256,.27535519,4
469,130,9.196530473162499,.9370479,.10189146,1
470,131,5.87473150144065,1.0364292,.17642154,3
471,131,6.96765407478005,.94232082,.13524219,3
472,131,2.151460383147343,1.0125324,.47062561,3
473,132,6.519647848326425,1.5920825,.24419762,2
474,132,3.547451156585974,1.2198339,.34386206,2
475,133,7.647467260906317,2.7324126,.35729641,1
476,134,13.02963713761283,.99637765,.076470099,1
477,135,5.135143537402904,.99684924,.19412296,2
478,135,4.792531286579662,1.2227466,.25513586,2
479,136,4.974473878365415,.87006807,.17490655,6
480,136,3.977319443581842,.9323141,.23440765,6
481,136,1.656129815196195,.48382276,.2921406,6
482,136,1.975117033010759,.95636833,.48420843,6
483,136,.8885973019065952,.4123179,.46400985,6
484,136,1.367771645385534,.74558574,.54510981,6
485,137,9.798255774693654,1.4378501,.14674552,1
486,138,6.120498552329222,1.0649436,.17399621,4
487,138,4.015249978752973,.94970012,.23652329,4
488,138,1.700712544325817,1.3237079,.7783255,4
490,138,.0017372916799886,.000014422454,.0083016884,4
491,139,2.964349279811856,.70478648,.2377542,1
492,140,4.637303882308976,.6974858,.15040761,1
493,141,4.876059276662968,.52504927,.10767902,1
494,142,3.418551507461054,2.4918485,.72891939,1
495,143,5.111337810195302,1.2172691,.23815078,1
496,144,5.684282141525625,2.0856121,.36690861,2
497,144,.001086689177072,4.7214153e-06,.0043447707,2
498,145,10.14698149563532,1.7844142,.17585665,1
499,146,6.5316486368917,1.8476574,.28287765,2
500,146,1.085904132739284,1.3818462,1.2725306,2
501,147,3.833299618309973,1.2706639,.33148044,1
502,148,7.006121563379465,1.3650651,.19483891,2
503,148,3.144482768004418,1.3568196,.43149215,2
504,149,5.041189089086432,1.2027075,.23857616,2
505,149,2.28390468779677,1.6570874,.72555017,2
506,150,8.067074980793459,.94170594,.1167345,2
507,150,2.987899351382178,.5963099,.19957496,2
508,151,1.793524645738206,.59410709,.33125114,4
509,151,.0023519063658129,.000021858836,.0092940927,4
510,151,.8953702640903036,.70672554,.78931093,4
512,151,.8621756145494859,1.3151728,1.5254117,4
513,152,8.040420160629417,.83587968,.1039597,1
514,153,7.073171464493901,2.5819674,.36503673,3
515,153,5.394027904650361,4.0419059,.74932981,3
516,153,.0014576850605669,7.0459005e-06,.0048336233,3
517,154,6.689415584282111,1.5518287,.23198271,1
518,155,4.264800538391604,.69859403,.16380462,2
519,155,1.181845529742041,1.5061555,1.2744098,2
520,156,4.023876284205559,.76660842,.19051491,1
521,157,4.027757988421754,1.2018535,.29839268,5
522,157,3.208887063776577,.51699388,.16111314,5
523,157,2.223952861631339,.86898464,.39073879,5
524,157,2.104569909692634,1.6136405,.76673174,5
525,157,.9370698290684922,.61166352,.6527406,5
526,158,4.74244976726579,3.9225152,.82710737,3
527,158,3.69701948981979,6.0868411,1.6464185,3
528,158,2.220562729991532,3.6181955,1.6294048,3
530,159,6.19561888377874,.97853577,.15793996,3
531,159,5.17198975424551,.79098433,.15293618,3
532,159,1.713127337275986,.46726787,.27275723,3
534,160,6.108046735631209,.53962111,.088345937,3
535,160,4.951428686811616,.77099764,.15571216,3
536,160,2.46122878852284,2.3785501,.96640754,3
537,161,5.082478109161844,.81810546,.16096586,1
538,162,5.317569809645238,1.2070968,.22700159,1
539,163,7.023389461497377,.72932023,.10384163,3
540,163,5.810496832633929,.98475242,.16947818,3
541,163,3.274729780751312,1.41186,.43113786,3
542,164,4.165208217544747,.93448323,.22435451,1
543,165,9.705818476056479,1.768448,.18220493,3
544,165,4.269301159854997,1.2453375,.29169586,3
545,165,4.224684236677009,1.4208169,.33631316,3
546,166,7.606605037874679,1.0844618,.14256844,3
547,166,4.408585451272419,.92078364,.20886147,3
548,166,2.466999250966849,1.6168302,.65538335,3
549,167,2.694775113372969,1.0003669,.37122464,1
551,168,9.682642764701059,2.2650468,.23392858,2
552,168,1.880236473038568,.74397922,.39568385,2
553,169,3.96812209109373,1.1302884,.28484213,1
554,170,11.48660847390108,1.7354403,.15108378,2
555,170,3.208342076443882,2.7878091,.86892515,2
556,171,5.097140309328758,.87968493,.17258401,1
557,172,3.069484134667193,.81832963,.26660168,2
558,172,1.34100111727497,.55064368,.41062135,2
559,173,5.079424658679205,1.7712951,.34871963,1
560,174,6.696598983365421,2.3054492,.34427166,2
561,174,1.999507249526655,4.9747138,2.4879699,2
562,175,5.28457410078755,.87981254,.16648693,1
564,176,1.34626270970637,.50355387,.37403834,5
565,176,1.657426634638834,3.0503795,1.8404311,5
566,176,2.955820505196837,1.5607916,.52804005,5
568,176,2.355478696825451,.54719669,.23230806,5
569,176,2.355478696825451,.54719669,.23230806,5
570,177,2.337978387764598,3.9927185,1.7077653,3
571,177,4.592361544878145,1.7544338,.38203302,3
572,177,4.562858823877255,2.147841,.47072265,3
573,178,8.811326052928843,1.0487826,.11902665,1
574,179,6.833090816099947,1.1550788,.16904192,2
575,179,5.60594904313784,1.0882828,.19412999,2
576,180,10.77562732772035,.8779605,.08147651,2
577,180,1.41416679811383,.98592675,.69717854,2
578,181,2.679495865155864,.59448016,.22186269,4
579,181,3.430894121183907,2.0189054,.58844876,4
580,181,1.267933380140916,.65821159,.51912159,4
581,181,1.186234212136813,2.5616031,2.1594412,4
582,182,7.153361175028209,2.0608842,.28810012,1
583,183,4.658163188847393,.75498664,.16207819,1
584,184,4.0378674658464,1.0957164,.27136016,1
585,185,1.987143549031843,2.4758654,1.2459419,2
588,185,.8104668530640412,1.3872905,1.7117177,2
589,186,4.644490543728082,1.0881002,.23427762,4
590,186,3.980806041890598,.92090261,.23133571,4
591,186,2.198310872901141,3.4192646,1.5554054,4
592,186,1.451065694459613,.89332879,.61563635,4
594,187,5.788632591446916,1.6153212,.27905056,2
595,187,1.576676454452002,3.1329634,1.9870681,2
596,188,7.769455999000687,.74146247,.095432997,1
597,189,3.746084570641838,1.2299591,.32833192,3
598,189,2.907034532844983,3.5463247,1.2199115,3
600,189,.7963578220187735,.53910172,.67695916,3
601,190,5.131529299538003,1.5194923,.29610905,3
602,190,1.24373526275971,.53393245,.42929751,3
603,190,1.108813669441054,.45012963,.40595606,3
604,191,3.647438384507395,2.134913,.58531845,1
605,192,8.71759099673308,.9345873,.10720706,2
606,192,.9534118131192296,.39605522,.41540834,2
